"country","gdp_per_capita","life_expectancy","infant_mortality","literacy_rate","internet_users","electricity_access","urban_population","health_expenditure","education_expenditure","unemployment_rate","gini_coefficient","region","income_group","year"
"Italy",36852.5425414951,82.6463414634146,2.5,99.3499984741211,74.8623274,100,69.4812507629394,9.28164482,4.17118978500366,9.497,34.8,"Europe & Central Asia","High income",2021
"Jamaica",5625.67806271236,69.085,17.1,NA,82.36071561,100,57.5411017937226,8.00261688,5.63122987747192,5.188,39.9,"Latin America & Caribbean","Upper middle income",2021
"Japan",40094.5599795288,84.4456097560976,1.8,NA,82.91407928,100,91.8741049279527,12.08108234,3.33663988113403,2.808,32.3,"East Asia & Pacific","High income",2021
"Jordan",4183.49998326866,74.204,13,95.4300003051758,85.999997,99.9,92.117972910453,7.69733906,3.13837003707886,19.837,NA,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Kazakhstan",9983.60103576902,70.131,7.9,NA,90.9239507,100,61.030254280267,3.98701859,4.38569397571466,5.568,29.2,"Europe & Central Asia","Upper middle income",2021
"Kenya",2061.35622089594,61.225,36,NA,26.96290016,76.5,31.2879334021971,4.56992722,4.89040202257195,5.693,38.7,"Sub-Saharan Africa","Lower middle income",2021
"Kiribati",2222.04819501897,64.148,41.6,98.6079816424987,67.08760071,92.8,59.6364645301985,11.83228588,13.9871516883117,NA,27.8,"East Asia & Pacific","Lower middle income",2021
"Korea, Rep.",37518.4635305697,83.5268292682927,2.5,NA,97.57132698,100,81.1616526507785,8.34412766,4.55590009689331,3.639,32.9,"East Asia & Pacific","High income",2021
"Kosovo",5270.43236861018,74.981,9.1,NA,89.4430319734879,NA,46.4995789423362,NA,NA,NA,49.4,"Europe & Central Asia","Upper middle income",2021
"Kuwait",34018.6342592913,78.7365853658537,7.5,96.4599990844727,99.7,100,100,5.37273169,7.76246706467929,2.97,NA,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"Kyrgyz Republic",1349.99730650542,71.9,15.3,NA,77.11769867,99.7,34.7521210171204,5.35275602,5.16667985916138,5.149,28.8,"Europe & Central Asia","Lower middle income",2021
"Lao PDR",2526.05105018529,67.807,30.5,73.7200012207031,62,100,37.338778268357,2.74392009,1.85949176876536,2.08,38.8,"East Asia & Pacific","Lower middle income",2021
"Latvia",20261.8887788916,72.9804878048781,2.9,NA,91.17964988,100,68.1808791463693,9.4105072,4.76774978637695,7.513,34.3,"Europe & Central Asia","High income",2021
"Lebanon",4045.37391066234,73.65,13.6,92.0099744752418,82.65599823,100,89.965362045441,4.40006208,2.4354185601396,12.715,NA,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Lesotho",1066.58645143823,54.209,61.1,92.3961659464955,45.05670166,50.4,40.6551760851997,10.66165733,7.28360986709595,18.214,44.9,"Sub-Saharan Africa","Lower middle income",2021
"Liberia",667.96610514319,61.166,63.5,NA,26.38229942,29.8,53.9224618859098,13.27175999,2.4235999584198,3.844,35.3,"Sub-Saharan Africa","Low income",2021
"Libya",4935.82787349801,72.062,8.7,NA,77.438797,70.2,87.8365018271835,6.05457449,NA,19.779,NA,"Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2021
"Liechtenstein",201944.830335076,84.4024390243902,NA,NA,95.56939697,100,14.6989159370696,5.38460207,NA,NA,NA,"Europe & Central Asia","High income",2021
"Lithuania",23870.4594851722,74.0365853658537,3,NA,86.93054425,100,68.1912117004395,7.73210812,4.23977994918823,7.112,36.7,"Europe & Central Asia","High income",2021
"Luxembourg",134965.815442152,82.5975609756098,2,NA,98.66086333,100,94.5861743396533,5.60806084,3.68531990051269,5.571,32.7,"Europe & Central Asia","High income",2021
"Macao SAR, China",44884.8961602393,83.7292682926829,NA,96.5400009155273,88.46810492,100,100,NA,5.10697984695435,2.221,NA,"East Asia & Pacific","High income",2021
"Madagascar",483.469463351195,62.516,44.4,74.6900024414062,13.74590015,35.1,31.1137123216036,3.55335546,3.19807542117225,3.498,36.8,"Sub-Saharan Africa","Low income",2021
"Malawi",617.446994451007,64.782,38.3,70.1500015258789,15.30300045,14.2,16.4881925800694,7.5164628,3.32295989990234,5.652,38.5,"Sub-Saharan Africa","Low income",2021
"Malaysia",10903.1037480772,73.917,6.8,94.9700012207031,96.7514278,100,75.5088628191907,4.37438345,4.26109393398867,4.64,40.7,"East Asia & Pacific","Upper middle income",2021
"Maldives",10176.143882547,78.052,5.6,98.2099990844727,81.95760345,100,40.7398648710483,8.85169506,4.61379747500137,5.016,29.3,"South Asia","Upper middle income",2021
"Mali",1027.27345365357,59.116,53.3,35.4700012207031,33.95650101,53.4,29.7049638253978,3.54318666,3.66363000869751,4.006,35.7,"Sub-Saharan Africa","Low income",2021
"Malta",38096.8360735119,82.2585365853659,5.1,NA,87.46977742,100,95.5145343617045,9.52782059,4.92963981628418,3.754,31.6,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"Marshall Islands",6315.31279603534,65.421,24.8,95.7629302411191,63.97259903,99.8,77.6163157431143,12.49257088,15.1824411727819,NA,35.5,"East Asia & Pacific","Upper middle income",2021
"Mauritania",1947.78918383313,66.762,33,59.5299987792969,35.63660049,47.7,57.901535141641,3.78022528,1.891970038414,11.131,32,"Sub-Saharan Africa","Lower middle income",2021
"Mauritius",9177.71195973013,73.680243902439,14.1,92.9800213334339,71.59999847,99.6,39.077147315722,6.6160841,4.67151021957397,7.719,36.8,"Sub-Saharan Africa","Upper middle income",2021
"Mexico",10314.0506722115,69.75,13.1,95.6890981310362,75.62650476,100,78.9324007418057,5.87678003,4.23823976516724,4.019,44.6,"Latin America & Caribbean","Upper middle income",2021
"Micronesia, Fed. Sts.",3508.22314197664,66.152,22.3,NA,39.38330078,83.6,22.3928762855411,11.37430477,11.5591397849462,NA,NA,"East Asia & Pacific","Lower middle income",2021
"Moldova",5274.60582195352,68.991,14.5,NA,74.91899872,100,41.8115425109863,7.7490406,5.82405996322632,0.794,25.7,"Europe & Central Asia","Upper middle income",2021
"Monaco",223823.363960226,85.113,2.4,NA,99.07759857,100,100,3.67494631,1.41926002502441,NA,NA,"Europe & Central Asia","High income",2021
"Mongolia",4517.61578018785,71.6451219512195,11.8,99.2143568969301,81.60682285,100,69.2153244018555,7.21042728,4.06898021697998,7.871,32.7,"East Asia & Pacific","Upper middle income",2021
"Montenegro",9317.15520065156,73.8243902439024,2.3,98.5299987792969,82.21969752,99.8,65.3266031317675,10.55253506,NA,16.543,34.3,"Europe & Central Asia","Upper middle income",2021
"Morocco",3785.93627929688,73.385,16.5,NA,88.13031937,100,62.3173276600289,5.45314503,5.64273401285138,10.551,NA,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Mozambique",509.907829475551,60.268,47.1,59.7799987792969,16.35759926,31.5,34.4499259401554,8.64841366,6.34063583505687,5.413,50.7,"Sub-Saharan Africa","Low income",2021
"Myanmar",1242.7213439951,65.553,36,93.527395549521,45.4477005,72.5,30.2368812529698,5.53530645,1.99976003170013,4.34,30.7,"East Asia & Pacific","Lower middle income",2021
"Namibia",4412.8355693052,60.85,40.4,88.2832376600657,60.25999832,55.2,49.0571881483796,10.19644737,10.3914477380895,20.931,NA,"Sub-Saharan Africa","Lower middle income",2021
"Nauru",14979.099896799,61.331,9.4,94.6337926033357,80.29499817,100,100,10.85399055,5.16034,NA,NA,"East Asia & Pacific","High income",2021
"Nepal",1252.75076731986,68.385,24.9,68.7099990844727,40.98910141,89.9,66.144235274522,5.53498316,4.42801034633091,12.241,NA,"South Asia","Lower middle income",2021
"Netherlands",60141.9880911492,81.309756097561,3.5,NA,92.05298013,100,94.6294783220315,11.13498974,5.37661981582642,4.209,25.7,"Europe & Central Asia","High income",2021
"New Caledonia",35311.5543551452,77.113,NA,NA,82.0058408035186,100,67.4130776539646,NA,NA,11.574,NA,"East Asia & Pacific","High income",2021
"New Zealand",49950.4251691316,82.2073170731707,4.3,NA,91.99060059,100,83.8299382585905,9.55072403,5.5409197807312,3.776,NA,"East Asia & Pacific","High income",2021
"Nicaragua",2138.38588469449,70.478,12.5,NA,51.62039948,86.3,58.8592529296875,9.54984856,4.08717467298944,6.076,NA,"Latin America & Caribbean","Lower middle income",2021
"Niger",608.722439593808,59.542,68.7,33.0499992370605,12.45689964,18.6,17.2295936666686,5.81452751,3.82175828133515,0.806,32.9,"Sub-Saharan Africa","Low income",2021
"Nigeria",2787.48779224428,53.455,69.9,63.1599998474121,35.50979996,59.5,60.5698545383604,4.07625723,0.381919104397325,5.404,35.1,"Sub-Saharan Africa","Lower middle income",2021
"North Macedonia",7620.80296977508,73.2463414634146,4.4,NA,81.873703,100,61.6841975628139,8.41851234,NA,15.801,33.5,"Europe & Central Asia","Upper middle income",2021
"Northern Mariana Islands",19455.50139424,78.16,NA,NA,NA,100,91.7842137303802,NA,NA,NA,NA,"East Asia & Pacific","High income",2021
"Norway",93072.8925119571,83.1634146341463,1.9,NA,99.0000036,100,82.8612877226956,9.8142643,6.9602198600769,4.359,29.1,"Europe & Central Asia","High income",2021
"Oman",19403.4600160211,75.969,8.6,96.9000015258789,95.23880005,100,80.1239942103569,4.34468651,6.87768983840942,1.9,NA,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"Pakistan",1455.31922370186,65.773,53,58.8600006103516,18.935,94.9,37.9333395514173,2.99015832,1.68746129213991,6.338,29.6,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"Palau",13009.2481630213,68.563,19.6,99.8448081264108,NA,100,79.0890798782416,14.55276012,3.94417105804533,NA,NA,"East Asia & Pacific","High income",2021
"Panama",15509.8069124139,77.004,12,96.2119100135584,66.04270172,95.3,65.8092302689169,9.13571072,3.71198010444641,10.177,50.9,"Latin America & Caribbean","High income",2021
"Papua New Guinea",2607.57861874444,64.358,34.1,70.0599975585938,16.55960083,20.9,14.4398342822353,2.33994722,0.713984905932403,3.03,NA,"East Asia & Pacific","Lower middle income",2021
"Paraguay",5976.93179789949,68.108,16,94.5400009155273,77.01838621,100,67.3058612772421,8.03277016,3.41070008277893,7.311,42.9,"Latin America & Caribbean","Upper middle income",2021
"Peru",6826.20255614477,71.596,11.9,94.5,71.10782643,95.6,83.9480118272361,6.67309427,3.92765998840332,5.097,40.1,"Latin America & Caribbean","Upper middle income",2021
"Philippines",3484.38593882819,66.675,22.6,98.4700012207031,66.90779877,97.5,54.4504102510776,5.97500563,3.87249754784633,3.398,40.7,"East Asia & Pacific","Lower middle income",2021
"Poland",18635.5104895754,75.3512195121951,3.7,NA,85.37490906,100,59.8096513205543,6.3654809,4.61998987197876,3.268,28.5,"Europe & Central Asia","High income",2021
"Portugal",24711.4510062111,81.3780487804878,2.7,NA,82.30902804,100,61.0951249296597,11.22031498,4.77341985702515,6.712,34.6,"Europe & Central Asia","High income",2021
"Puerto Rico (US)",32619.0704601174,79.77,NA,92.3899993896484,84.78666399,100,94.0550712597302,NA,3.7296700261025,7.9,NA,"Latin America & Caribbean","High income",2021
"Qatar",71751.9363398856,81.083,5.1,NA,99.65280151,100,99.203408908243,2.8927927,3.23368000984192,0.14,35.1,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
"Romania",14907.9803652143,72.809756097561,5.3,99.1600036621094,83.5904265,100,52.2321512130811,6.45246983,3.31562995910644,5.59,33.9,"Europe & Central Asia","High income",2021
